Video_ID,Thumbnail_URL,Video_Title,User_Comment,Likes,Sentiment_Score,Clickbait_Label
VID034,https://img.youtube.com/vi/VID034/maxresdefault.jpg,Unbelievable Trick to Make Money!,"Clear and honest video, no false thumbnails.",57,0.8,0
VID035,https://img.youtube.com/vi/VID035/maxresdefault.jpg,Discover Hidden Gems in Your City,I was expecting something else based on the thumbnail.,46,-0.75,1
VID036,https://img.youtube.com/vi/VID036/maxresdefault.jpg,Top 10 Secrets You Didn't Know!,"Real value in this video, thumbnail is genuine.",74,0.7,0
VID037,https://img.youtube.com/vi/VID037/maxresdefault.jpg,Top 10 Secrets You Didn't Know!,This video is completely misleading!,99,-0.85,1
VID038,https://img.youtube.com/vi/VID038/maxresdefault.jpg,Learn Python in 10 Minutes – Is It Possible?,"Great video, just like the thumbnail shows!",64,0.75,0
VID039,https://img.youtube.com/vi/VID039/maxresdefault.jpg,How to Get a Million Views on YouTube,"Wasted my time, the thumbnail is a lie.",134,-0.8,1
VID040,https://img.youtube.com/vi/VID040/maxresdefault.jpg,Discover Hidden Gems in Your City,Good content! Matches the title and thumbnail perfectly.,75,0.75,0
VID041,https://img.youtube.com/vi/VID041/maxresdefault.jpg,Unbelievable Trick to Make Money!,Clickbait! The thumbnail is far from what was in the video.,147,-0.8,1
VID042,https://img.youtube.com/vi/VID042/maxresdefault.jpg,Must-Know Tips for Traveling on a Budget,"Great video, just like the thumbnail shows!",109,0.85,0
VID043,https://img.youtube.com/vi/VID043/maxresdefault.jpg,The Best Life Hacks for 2025!,Clickbait! The thumbnail is far from what was in the video.,140,-0.7,1
VID044,https://img.youtube.com/vi/VID044/maxresdefault.jpg,Unbelievable Trick to Make Money!,Good content! Matches the title and thumbnail perfectly.,38,0.6,0
VID045,https://img.youtube.com/vi/VID045/maxresdefault.jpg,Unmasking the Truth About Diets,False advertising with that thumbnail. Fake content.,66,-0.75,1
VID046,https://img.youtube.com/vi/VID046/maxresdefault.jpg,Unmasking the Truth About Diets,"Informative video, no misleading here.",48,0.85,0
VID047,https://img.youtube.com/vi/VID047/maxresdefault.jpg,Learn Python in 10 Minutes – Is It Possible?,Clickbait! The thumbnail is far from what was in the video.,32,-0.8,1
VID048,https://img.youtube.com/vi/VID048/maxresdefault.jpg,Breaking News! You Won't Believe This,"Great video, just like the thumbnail shows!",44,0.85,0
VID049,https://img.youtube.com/vi/VID049/maxresdefault.jpg,Unmasking the Truth About Diets,Clickbait! The thumbnail is far from what was in the video.,88,-0.8,1
VID050,https://img.youtube.com/vi/VID050/maxresdefault.jpg,Unmasking the Truth About Diets,"Well done, accurate thumbnail!",97,0.6,0
VID051,https://img.youtube.com/vi/VID051/maxresdefault.jpg,Unbelievable Trick to Make Money!,False advertising with that thumbnail. Fake content.,141,-0.8,1
VID052,https://img.youtube.com/vi/VID052/maxresdefault.jpg,Discover Hidden Gems in Your City,"Great video, just like the thumbnail shows!",44,0.75,0
VID053,https://img.youtube.com/vi/VID053/maxresdefault.jpg,The Best Life Hacks for 2025!,I was expecting something else based on the thumbnail.,126,-0.85,1
VID054,https://img.youtube.com/vi/VID054/maxresdefault.jpg,Discover Hidden Gems in Your City,"Well done, accurate thumbnail!",59,0.6,0
VID055,https://img.youtube.com/vi/VID055/maxresdefault.jpg,Must-Know Tips for Traveling on a Budget,I was expecting something else based on the thumbnail.,59,-0.85,1
VID056,https://img.youtube.com/vi/VID056/maxresdefault.jpg,Must-Know Tips for Traveling on a Budget,"Great video, just like the thumbnail shows!",96,0.85,0
VID057,https://img.youtube.com/vi/VID057/maxresdefault.jpg,The Best Life Hacks for 2025!,"Thumbnail is fake, the video is boring.",119,-0.7,1
VID058,https://img.youtube.com/vi/VID058/maxresdefault.jpg,Learn Python in 10 Minutes – Is It Possible?,Good content! Matches the title and thumbnail perfectly.,128,0.8,0
VID059,https://img.youtube.com/vi/VID059/maxresdefault.jpg,Top 10 Secrets You Didn't Know!,This video is completely misleading!,79,-0.7,1
VID060,https://img.youtube.com/vi/VID060/maxresdefault.jpg,Unbelievable Trick to Make Money!,"Well done, accurate thumbnail!",123,0.75,0
VID061,https://img.youtube.com/vi/VID061/maxresdefault.jpg,Top 10 Secrets You Didn't Know!,I was expecting something else based on the thumbnail.,143,-0.85,1
VID062,https://img.youtube.com/vi/VID062/maxresdefault.jpg,Learn Python in 10 Minutes – Is It Possible?,"No clickbait, just quality information.",84,0.6,0
VID063,https://img.youtube.com/vi/VID063/maxresdefault.jpg,Breaking News! You Won't Believe This,Thumbnails are just misleading to get views.,137,-0.85,1
VID064,https://img.youtube.com/vi/VID064/maxresdefault.jpg,Breaking News! You Won't Believe This,"No clickbait, just quality information.",149,0.6,0
VID065,https://img.youtube.com/vi/VID065/maxresdefault.jpg,Top 10 Secrets You Didn't Know!,False advertising with that thumbnail. Fake content.,112,-0.7,1
VID066,https://img.youtube.com/vi/VID066/maxresdefault.jpg,How to Cook Perfect Pasta Every Time,Good content! Matches the title and thumbnail perfectly.,45,0.85,0
VID067,https://img.youtube.com/vi/VID067/maxresdefault.jpg,Top 10 Secrets You Didn't Know!,I was expecting something else based on the thumbnail.,73,-0.8,1
VID068,https://img.youtube.com/vi/VID068/maxresdefault.jpg,Learn Python in 10 Minutes – Is It Possible?,"Clear and honest video, no false thumbnails.",114,0.7,0
VID069,https://img.youtube.com/vi/VID069/maxresdefault.jpg,Must-Know Tips for Traveling on a Budget,Clickbait! The thumbnail is far from what was in the video.,98,-0.7,1
VID070,https://img.youtube.com/vi/VID070/maxresdefault.jpg,Top 10 Secrets You Didn't Know!,"Great video, just like the thumbnail shows!",90,0.85,0
VID071,https://img.youtube.com/vi/VID071/maxresdefault.jpg,Breaking News! You Won't Believe This,Clickbait! The thumbnail is far from what was in the video.,107,-0.85,1
VID072,https://img.youtube.com/vi/VID072/maxresdefault.jpg,Unmasking the Truth About Diets,"Exactly what I was looking for, the thumbnail is accurate.",46,0.85,0
VID073,https://img.youtube.com/vi/VID073/maxresdefault.jpg,How to Cook Perfect Pasta Every Time,"Wasted my time, the thumbnail is a lie.",148,-0.6,1
VID074,https://img.youtube.com/vi/VID074/maxresdefault.jpg,How to Cook Perfect Pasta Every Time,"Well done, accurate thumbnail!",45,0.7,0
VID075,https://img.youtube.com/vi/VID075/maxresdefault.jpg,Unbelievable Trick to Make Money!,"Wasted my time, the thumbnail is a lie.",62,-0.6,1
VID076,https://img.youtube.com/vi/VID076/maxresdefault.jpg,Must-Know Tips for Traveling on a Budget,"Exactly what I was looking for, the thumbnail is accurate.",131,0.85,0
VID077,https://img.youtube.com/vi/VID077/maxresdefault.jpg,How to Get a Million Views on YouTube,Thumbnails are just misleading to get views.,48,-0.8,1
VID078,https://img.youtube.com/vi/VID078/maxresdefault.jpg,Must-Know Tips for Traveling on a Budget,"Well done, accurate thumbnail!",60,0.75,0
VID079,https://img.youtube.com/vi/VID079/maxresdefault.jpg,Discover Hidden Gems in Your City,"Total clickbait, dislike and report.",120,-0.85,1
VID080,https://img.youtube.com/vi/VID080/maxresdefault.jpg,Discover Hidden Gems in Your City,"Helpful tutorial, just as promised.",84,0.85,0
VID081,https://img.youtube.com/vi/VID081/maxresdefault.jpg,How to Get a Million Views on YouTube,The video does not match the thumbnail at all.,117,-0.7,1
VID082,https://img.youtube.com/vi/VID082/maxresdefault.jpg,Learn Python in 10 Minutes – Is It Possible?,Good content! Matches the title and thumbnail perfectly.,130,0.85,0
VID083,https://img.youtube.com/vi/VID083/maxresdefault.jpg,How to Cook Perfect Pasta Every Time,"Nothing like the thumbnail, this is total clickbait.",57,-0.75,1
VID084,https://img.youtube.com/vi/VID084/maxresdefault.jpg,The Best Life Hacks for 2025!,"Clear and honest video, no false thumbnails.",40,0.6,0
VID085,https://img.youtube.com/vi/VID085/maxresdefault.jpg,Learn Python in 10 Minutes – Is It Possible?,False advertising with that thumbnail. Fake content.,48,-0.8,1
VID086,https://img.youtube.com/vi/VID086/maxresdefault.jpg,Learn Python in 10 Minutes – Is It Possible?,"Great video, just like the thumbnail shows!",121,0.7,0
VID087,https://img.youtube.com/vi/VID087/maxresdefault.jpg,How to Cook Perfect Pasta Every Time,The video does not match the thumbnail at all.,46,-0.75,1
VID088,https://img.youtube.com/vi/VID088/maxresdefault.jpg,The Best Life Hacks for 2025!,"Clear and honest video, no false thumbnails.",142,0.6,0
VID089,https://img.youtube.com/vi/VID089/maxresdefault.jpg,Breaking News! You Won't Believe This,"Wasted my time, the thumbnail is a lie.",123,-0.6,1
VID090,https://img.youtube.com/vi/VID090/maxresdefault.jpg,Unmasking the Truth About Diets,"Clear and honest video, no false thumbnails.",132,0.8,0
VID091,https://img.youtube.com/vi/VID091/maxresdefault.jpg,Breaking News! You Won't Believe This,False advertising with that thumbnail. Fake content.,142,-0.85,1
VID092,https://img.youtube.com/vi/VID092/maxresdefault.jpg,How to Get a Million Views on YouTube,"Great content, good representation in the thumbnail.",131,0.6,0
VID093,https://img.youtube.com/vi/VID093/maxresdefault.jpg,Unbelievable Trick to Make Money!,"Wasted my time, the thumbnail is a lie.",121,-0.7,1
VID094,https://img.youtube.com/vi/VID094/maxresdefault.jpg,How to Get a Million Views on YouTube,"No clickbait, just quality information.",130,0.8,0
VID095,https://img.youtube.com/vi/VID095/maxresdefault.jpg,Unmasking the Truth About Diets,The video does not match the thumbnail at all.,77,-0.6,1
VID096,https://img.youtube.com/vi/VID096/maxresdefault.jpg,How to Get a Million Views on YouTube,"Real value in this video, thumbnail is genuine.",63,0.6,0
VID097,https://img.youtube.com/vi/VID097/maxresdefault.jpg,Learn Python in 10 Minutes – Is It Possible?,"Total clickbait, dislike and report.",62,-0.8,1
VID098,https://img.youtube.com/vi/VID098/maxresdefault.jpg,The Best Life Hacks for 2025!,Good content! Matches the title and thumbnail perfectly.,106,0.8,0
VID099,https://img.youtube.com/vi/VID099/maxresdefault.jpg,Learn Python in 10 Minutes – Is It Possible?,Clickbait! The thumbnail is far from what was in the video.,134,-0.6,1
VID100,https://img.youtube.com/vi/VID100/maxresdefault.jpg,How to Cook Perfect Pasta Every Time,"Well done, accurate thumbnail!",112,0.6,0
VID101,https://img.youtube.com/vi/VID101/maxresdefault.jpg,Learn Python in 10 Minutes – Is It Possible?,"Wasted my time, the thumbnail is a lie.",41,-0.75,1
VID102,https://img.youtube.com/vi/VID102/maxresdefault.jpg,How to Cook Perfect Pasta Every Time,"Clear and honest video, no false thumbnails.",137,0.75,0
VID103,https://img.youtube.com/vi/VID103/maxresdefault.jpg,How to Get a Million Views on YouTube,This video is completely misleading!,63,-0.85,1
VID104,https://img.youtube.com/vi/VID104/maxresdefault.jpg,How to Cook Perfect Pasta Every Time,"Great content, good representation in the thumbnail.",138,0.75,0
VID105,https://img.youtube.com/vi/VID105/maxresdefault.jpg,How to Cook Perfect Pasta Every Time,False advertising with that thumbnail. Fake content.,124,-0.8,1
VID106,https://img.youtube.com/vi/VID106/maxresdefault.jpg,Must-Know Tips for Traveling on a Budget,"Informative video, no misleading here.",103,0.85,0
VID107,https://img.youtube.com/vi/VID107/maxresdefault.jpg,Discover Hidden Gems in Your City,The video does not match the thumbnail at all.,150,-0.85,1
VID108,https://img.youtube.com/vi/VID108/maxresdefault.jpg,How to Cook Perfect Pasta Every Time,"Informative video, no misleading here.",54,0.7,0
VID109,https://img.youtube.com/vi/VID109/maxresdefault.jpg,Must-Know Tips for Traveling on a Budget,"Nothing like the thumbnail, this is total clickbait.",98,-0.85,1
VID110,https://img.youtube.com/vi/VID110/maxresdefault.jpg,Learn Python in 10 Minutes – Is It Possible?,"Exactly what I was looking for, the thumbnail is accurate.",60,0.6,0
VID111,https://img.youtube.com/vi/VID111/maxresdefault.jpg,Must-Know Tips for Traveling on a Budget,Clickbait! The thumbnail is far from what was in the video.,86,-0.7,1
VID112,https://img.youtube.com/vi/VID112/maxresdefault.jpg,The Best Life Hacks for 2025!,"Great video, just like the thumbnail shows!",92,0.75,0
VID113,https://img.youtube.com/vi/VID113/maxresdefault.jpg,Learn Python in 10 Minutes – Is It Possible?,This video is completely misleading!,124,-0.75,1
VID114,https://img.youtube.com/vi/VID114/maxresdefault.jpg,Unmasking the Truth About Diets,"Clear and honest video, no false thumbnails.",119,0.85,0
VID115,https://img.youtube.com/vi/VID115/maxresdefault.jpg,Breaking News! You Won't Believe This,"Thumbnail is fake, the video is boring.",99,-0.6,1
VID116,https://img.youtube.com/vi/VID116/maxresdefault.jpg,Breaking News! You Won't Believe This,"No clickbait, just quality information.",76,0.6,0
VID117,https://img.youtube.com/vi/VID117/maxresdefault.jpg,Unmasking the Truth About Diets,Thumbnails are just misleading to get views.,131,-0.7,1
VID118,https://img.youtube.com/vi/VID118/maxresdefault.jpg,How to Cook Perfect Pasta Every Time,"Great video, just like the thumbnail shows!",104,0.7,0
VID119,https://img.youtube.com/vi/VID119/maxresdefault.jpg,Discover Hidden Gems in Your City,False advertising with that thumbnail. Fake content.,111,-0.75,1
VID120,https://img.youtube.com/vi/VID120/maxresdefault.jpg,How to Cook Perfect Pasta Every Time,"Great video, just like the thumbnail shows!",108,0.85,0
VID121,https://img.youtube.com/vi/VID121/maxresdefault.jpg,Discover Hidden Gems in Your City,"Wasted my time, the thumbnail is a lie.",52,-0.85,1
VID122,https://img.youtube.com/vi/VID122/maxresdefault.jpg,Unmasking the Truth About Diets,Good content! Matches the title and thumbnail perfectly.,148,0.85,0
VID123,https://img.youtube.com/vi/VID123/maxresdefault.jpg,How to Cook Perfect Pasta Every Time,This video is completely misleading!,63,-0.7,1
VID124,https://img.youtube.com/vi/VID124/maxresdefault.jpg,How to Cook Perfect Pasta Every Time,"Great video, just like the thumbnail shows!",53,0.8,0
VID125,https://img.youtube.com/vi/VID125/maxresdefault.jpg,How to Cook Perfect Pasta Every Time,This video is completely misleading!,136,-0.75,1
VID126,https://img.youtube.com/vi/VID126/maxresdefault.jpg,Unmasking the Truth About Diets,"Great video, just like the thumbnail shows!",57,0.6,0
VID127,https://img.youtube.com/vi/VID127/maxresdefault.jpg,Breaking News! You Won't Believe This,"Wasted my time, the thumbnail is a lie.",150,-0.7,1
VID128,https://img.youtube.com/vi/VID128/maxresdefault.jpg,Top 10 Secrets You Didn't Know!,Good content! Matches the title and thumbnail perfectly.,71,0.8,0
VID129,https://img.youtube.com/vi/VID129/maxresdefault.jpg,How to Cook Perfect Pasta Every Time,"Thumbnail is fake, the video is boring.",140,-0.75,1
VID130,https://img.youtube.com/vi/VID130/maxresdefault.jpg,The Best Life Hacks for 2025!,Good content! Matches the title and thumbnail perfectly.,38,0.8,0
VID131,https://img.youtube.com/vi/VID131/maxresdefault.jpg,How to Get a Million Views on YouTube,"Thumbnail is fake, the video is boring.",140,-0.85,1
VID132,https://img.youtube.com/vi/VID132/maxresdefault.jpg,Learn Python in 10 Minutes – Is It Possible?,Good content! Matches the title and thumbnail perfectly.,117,0.75,0
VID133,https://img.youtube.com/vi/VID133/maxresdefault.jpg,Must-Know Tips for Traveling on a Budget,False advertising with that thumbnail. Fake content.,103,-0.6,1
VID134,https://img.youtube.com/vi/VID134/maxresdefault.jpg,Discover Hidden Gems in Your City,"Real value in this video, thumbnail is genuine.",148,0.7,0
VID135,https://img.youtube.com/vi/VID135/maxresdefault.jpg,Must-Know Tips for Traveling on a Budget,"Wasted my time, the thumbnail is a lie.",77,-0.85,1
VID136,https://img.youtube.com/vi/VID136/maxresdefault.jpg,Top 10 Secrets You Didn't Know!,"Exactly what I was looking for, the thumbnail is accurate.",100,0.8,0
VID137,https://img.youtube.com/vi/VID137/maxresdefault.jpg,Breaking News! You Won't Believe This,"Total clickbait, dislike and report.",66,-0.8,1
VID138,https://img.youtube.com/vi/VID138/maxresdefault.jpg,The Best Life Hacks for 2025!,"Real value in this video, thumbnail is genuine.",139,0.6,0
VID139,https://img.youtube.com/vi/VID139/maxresdefault.jpg,Top 10 Secrets You Didn't Know!,I was expecting something else based on the thumbnail.,121,-0.6,1
VID140,https://img.youtube.com/vi/VID140/maxresdefault.jpg,Top 10 Secrets You Didn't Know!,"Exactly what I was looking for, the thumbnail is accurate.",34,0.85,0
VID141,https://img.youtube.com/vi/VID141/maxresdefault.jpg,Discover Hidden Gems in Your City,False advertising with that thumbnail. Fake content.,55,-0.8,1
VID142,https://img.youtube.com/vi/VID142/maxresdefault.jpg,How to Cook Perfect Pasta Every Time,"Real value in this video, thumbnail is genuine.",148,0.75,0
VID143,https://img.youtube.com/vi/VID143/maxresdefault.jpg,Discover Hidden Gems in Your City,False advertising with that thumbnail. Fake content.,91,-0.8,1
VID144,https://img.youtube.com/vi/VID144/maxresdefault.jpg,The Best Life Hacks for 2025!,"Well done, accurate thumbnail!",126,0.8,0
VID145,https://img.youtube.com/vi/VID145/maxresdefault.jpg,Top 10 Secrets You Didn't Know!,Thumbnails are just misleading to get views.,94,-0.75,1
VID146,https://img.youtube.com/vi/VID146/maxresdefault.jpg,Top 10 Secrets You Didn't Know!,Good content! Matches the title and thumbnail perfectly.,102,0.8,0
VID147,https://img.youtube.com/vi/VID147/maxresdefault.jpg,The Best Life Hacks for 2025!,False advertising with that thumbnail. Fake content.,150,-0.8,1
VID148,https://img.youtube.com/vi/VID148/maxresdefault.jpg,Discover Hidden Gems in Your City,"Helpful tutorial, just as promised.",139,0.85,0
VID149,https://img.youtube.com/vi/VID149/maxresdefault.jpg,Unmasking the Truth About Diets,False advertising with that thumbnail. Fake content.,36,-0.75,1
VID150,https://img.youtube.com/vi/VID150/maxresdefault.jpg,Breaking News! You Won't Believe This,"Clear and honest video, no false thumbnails.",116,0.6,0
VID151,https://img.youtube.com/vi/VID151/maxresdefault.jpg,The Best Life Hacks for 2025!,Clickbait! The thumbnail is far from what was in the video.,145,-0.8,1
VID152,https://img.youtube.com/vi/VID152/maxresdefault.jpg,How to Cook Perfect Pasta Every Time,"Exactly what I was looking for, the thumbnail is accurate.",106,0.85,0
VID153,https://img.youtube.com/vi/VID153/maxresdefault.jpg,How to Get a Million Views on YouTube,This video is completely misleading!,33,-0.8,1
VID154,https://img.youtube.com/vi/VID154/maxresdefault.jpg,How to Cook Perfect Pasta Every Time,"Well done, accurate thumbnail!",109,0.8,0
VID155,https://img.youtube.com/vi/VID155/maxresdefault.jpg,Discover Hidden Gems in Your City,I was expecting something else based on the thumbnail.,135,-0.6,1
VID156,https://img.youtube.com/vi/VID156/maxresdefault.jpg,Top 10 Secrets You Didn't Know!,"Exactly what I was looking for, the thumbnail is accurate.",133,0.75,0
VID157,https://img.youtube.com/vi/VID157/maxresdefault.jpg,Top 10 Secrets You Didn't Know!,"Total clickbait, dislike and report.",55,-0.6,1
VID158,https://img.youtube.com/vi/VID158/maxresdefault.jpg,Discover Hidden Gems in Your City,Good content! Matches the title and thumbnail perfectly.,62,0.75,0
VID159,https://img.youtube.com/vi/VID159/maxresdefault.jpg,How to Cook Perfect Pasta Every Time,The video does not match the thumbnail at all.,97,-0.7,1
VID160,https://img.youtube.com/vi/VID160/maxresdefault.jpg,Unbelievable Trick to Make Money!,"Exactly what I was looking for, the thumbnail is accurate.",53,0.7,0
VID161,https://img.youtube.com/vi/VID161/maxresdefault.jpg,Discover Hidden Gems in Your City,"Thumbnail is fake, the video is boring.",32,-0.75,1
VID162,https://img.youtube.com/vi/VID162/maxresdefault.jpg,Learn Python in 10 Minutes – Is It Possible?,"Clear and honest video, no false thumbnails.",38,0.75,0
VID163,https://img.youtube.com/vi/VID163/maxresdefault.jpg,The Best Life Hacks for 2025!,Thumbnails are just misleading to get views.,56,-0.8,1
VID164,https://img.youtube.com/vi/VID164/maxresdefault.jpg,Unbelievable Trick to Make Money!,"Great content, good representation in the thumbnail.",110,0.6,0
VID165,https://img.youtube.com/vi/VID165/maxresdefault.jpg,Top 10 Secrets You Didn't Know!,Clickbait! The thumbnail is far from what was in the video.,132,-0.8,1
VID166,https://img.youtube.com/vi/VID166/maxresdefault.jpg,How to Cook Perfect Pasta Every Time,"Helpful tutorial, just as promised.",144,0.6,0
VID167,https://img.youtube.com/vi/VID167/maxresdefault.jpg,Top 10 Secrets You Didn't Know!,"Wasted my time, the thumbnail is a lie.",93,-0.7,1
VID168,https://img.youtube.com/vi/VID168/maxresdefault.jpg,Learn Python in 10 Minutes – Is It Possible?,Good content! Matches the title and thumbnail perfectly.,66,0.7,0
VID169,https://img.youtube.com/vi/VID169/maxresdefault.jpg,Top 10 Secrets You Didn't Know!,I was expecting something else based on the thumbnail.,95,-0.6,1
VID170,https://img.youtube.com/vi/VID170/maxresdefault.jpg,How to Get a Million Views on YouTube,"Exactly what I was looking for, the thumbnail is accurate.",30,0.7,0
VID171,https://img.youtube.com/vi/VID171/maxresdefault.jpg,Top 10 Secrets You Didn't Know!,False advertising with that thumbnail. Fake content.,83,-0.85,1
VID172,https://img.youtube.com/vi/VID172/maxresdefault.jpg,Top 10 Secrets You Didn't Know!,"Clear and honest video, no false thumbnails.",31,0.75,0
VID173,https://img.youtube.com/vi/VID173/maxresdefault.jpg,How to Cook Perfect Pasta Every Time,I was expecting something else based on the thumbnail.,135,-0.6,1
VID174,https://img.youtube.com/vi/VID174/maxresdefault.jpg,Unbelievable Trick to Make Money!,"No clickbait, just quality information.",71,0.85,0
VID175,https://img.youtube.com/vi/VID175/maxresdefault.jpg,Learn Python in 10 Minutes – Is It Possible?,False advertising with that thumbnail. Fake content.,110,-0.85,1
VID176,https://img.youtube.com/vi/VID176/maxresdefault.jpg,Learn Python in 10 Minutes – Is It Possible?,"Clear and honest video, no false thumbnails.",77,0.8,0
VID177,https://img.youtube.com/vi/VID177/maxresdefault.jpg,Top 10 Secrets You Didn't Know!,I was expecting something else based on the thumbnail.,75,-0.8,1
VID178,https://img.youtube.com/vi/VID178/maxresdefault.jpg,The Best Life Hacks for 2025!,"Informative video, no misleading here.",65,0.85,0
VID179,https://img.youtube.com/vi/VID179/maxresdefault.jpg,How to Get a Million Views on YouTube,The video does not match the thumbnail at all.,45,-0.8,1
VID180,https://img.youtube.com/vi/VID180/maxresdefault.jpg,How to Get a Million Views on YouTube,"Helpful tutorial, just as promised.",47,0.8,0
VID181,https://img.youtube.com/vi/VID181/maxresdefault.jpg,Unbelievable Trick to Make Money!,The video does not match the thumbnail at all.,76,-0.8,1
VID182,https://img.youtube.com/vi/VID182/maxresdefault.jpg,Unbelievable Trick to Make Money!,"Real value in this video, thumbnail is genuine.",134,0.8,0
VID183,https://img.youtube.com/vi/VID183/maxresdefault.jpg,How to Get a Million Views on YouTube,"Nothing like the thumbnail, this is total clickbait.",87,-0.7,1
VID184,https://img.youtube.com/vi/VID184/maxresdefault.jpg,The Best Life Hacks for 2025!,Good content! Matches the title and thumbnail perfectly.,137,0.8,0
